num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
44,-78.6962748,35.7271225,16.676,0.00307197542861104,0.0034468204248696566,0.0024688492994755507,-0.01,0.0,-2.45,12.587,2025-05-31 23:21:55.759590,6,10
45,-78.6962748,35.7271225,19.182,0.0029946526046842337,0.005094554740935564,0.0032365720253437757,0.0,0.0,-2.43,12.587,2025-05-31 23:21:56.759839,6,10
46,-78.6962748,35.7271225,21.459,0.0036872366908937693,0.003963093273341656,0.00415231054648757,-0.01,0.0,-1.96,12.587,2025-05-31 23:21:57.760970,6,10
47,-78.6962749,35.7271225,23.17,0.0035157520323991776,0.004269274417310953,0.004744323436170816,-0.01,0.01,-1.41,12.587,2025-05-31 23:21:58.762152,6,10
48,-78.696275,35.7271225,24.339,0.004248195793479681,0.004191040527075529,0.004744201898574829,-0.01,0.02,-0.9,12.587,2025-05-31 23:21:59.763752,6,10
49,-78.696275,35.7271225,24.949,0.0040537831373512745,0.004025466740131378,0.004212311934679747,-0.01,0.02,-0.31,12.587,2025-05-31 23:22:00.765514,6,10
50,-78.696275,35.7271225,24.986,0.0038950929883867502,0.004562415648251772,0.0039994362741708755,-0.02,0.02,0.05,12.587,2025-05-31 23:22:01.767340,6,10
51,-78.696275,35.7271225,24.953,0.003687008749693632,0.004123463295400143,0.0037724662106484175,-0.02,0.02,-0.03,12.587,2025-05-31 23:22:02.768812,6,10
52,-78.696275,35.7271225,24.955,0.0037263769190758467,0.004365695174783468,0.004002490546554327,-0.02,0.02,-0.04,12.587,2025-05-31 23:22:03.770641,6,10
53,-78.696275,35.7271226,24.962,0.0036479064729064703,0.03722163289785385,0.0040661352686584,-0.02,0.02,-0.03,12.587,2025-05-31 23:22:04.771208,6,10
54,-78.6962749,35.7271229,24.964,-0.20249426364898682,0.4091436564922333,-0.0357496403157711,0.32,0.1,-0.01,12.587,2025-05-31 23:22:05.773427,6,10
55,-78.6962712,35.727137,24.964,-0.3324607014656067,0.21568726003170013,0.006632160861045122,2.79,0.63,-0.03,12.587,2025-05-31 23:22:06.774144,6,10
56,-78.6962615,35.727172,24.973,-0.4459269940853119,0.23880653083324432,-0.011958171613514423,5.11,1.15,-0.02,12.587,2025-05-31 23:22:07.775331,6,10
57,-78.696246,35.7272286,24.972,-0.5628035068511963,0.3118993937969208,-0.046802178025245667,7.51,1.61,-0.01,12.587,2025-05-31 23:22:08.775683,6,10
