time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-05-31 23:23:24.292637,3.268524,3.814907,-4.14159,-99
2025-05-31 23:23:25.305561,4.107605,0.018005,-23.188797,-99
2025-05-31 23:23:26.326432,2.626442,3.67992,-4.850975,-99
2025-05-31 23:23:27.325460,2.992256,6.198689,-4.015442,-99
2025-05-31 23:23:28.346777,3.109966,3.320145,-3.857798,-99
2025-05-31 23:23:29.356619,2.463116,1.616449,-3.372086,-99
2025-05-31 23:23:30.374520,2.556221,2.941219,-4.670546,-99
2025-05-31 23:23:31.393067,4.176319,3.588791,-3.975727,-99
2025-05-31 23:23:32.389931,2.169842,1.915823,-4.150768,-99
2025-05-31 23:23:33.395446,2.751179,5.56459,-5.186174,-99
2025-05-31 23:23:34.405427,2.598713,3.046215,-4.225788,-99
2025-05-31 23:23:35.408443,2.628487,2.292171,-3.536812,-99
2025-05-31 23:23:36.439839,3.097263,1.969376,-3.270546,-99
2025-05-31 23:23:37.443638,0.885,2.795776,-4.642435,-99
2025-05-31 23:23:38.484418,4.766479,4.568256,-3.535427,-99
2025-05-31 23:23:39.516054,3.851593,1.915806,-3.645533,-99
2025-05-31 23:23:40.505596,3.007202,3.89048,-5.088503,-99
2025-05-31 23:23:41.541803,2.913105,2.558979,-4.021267,-99
2025-05-31 23:23:42.562338,3.663509,3.169224,-4.246695,-99
2025-05-31 23:23:43.573478,3.454704,4.927471,-5.455383,-99
2025-05-31 23:23:44.581060,3.620171,2.133148,-4.466818,-99
2025-05-31 23:23:45.581851,2.708092,2.400635,-2.952209,-99
2025-05-31 23:23:46.599005,4.605465,2.138988,-3.407749,-99
2025-05-31 23:23:47.623267,2.979305,4.337498,-3.36426,-99
2025-05-31 23:23:48.638662,3.492588,5.302292,-4.59313,-99
2025-05-31 23:23:49.647092,4.316231,4.2309,-2.748241,-99
2025-05-31 23:23:50.653632,2.671597,6.041348,-3.784883,-99
2025-05-31 23:23:51.659850,3.735489,3.268417,-1.599981,-99
2025-05-31 23:23:52.670488,3.019211,3.135422,-2.907608,-99
2025-05-31 23:23:53.704149,2.944252,4.116592,-4.868956,-99
2025-05-31 23:23:54.698319,2.043499,3.282669,-4.002748,-99
2025-05-31 23:23:55.702399,2.630669,4.674988,-3.917028,-99
2025-05-31 23:23:56.731836,4.194771,4.952549,-3.592251,-99
2025-05-31 23:23:57.736138,2.56583,4.884907,-3.303205,-99
2025-05-31 23:23:58.772849,3.189236,4.819069,-3.731201,-99
2025-05-31 23:23:59.777669,2.358303,7.78257,-4.842176,-99
2025-05-31 23:24:00.808345,2.531075,5.784195,-4.481375,-99
2025-05-31 23:24:01.821229,3.236385,7.153381,-5.973515,-99
2025-05-31 23:24:02.822772,2.92775,7.606499,-4.96674,-99
2025-05-31 23:24:03.855491,4.082047,8.664536,-4.080719,-99
2025-05-31 23:24:04.851404,3.879429,7.16267,-4.765142,-99
2025-05-31 23:24:05.877876,2.775703,8.598927,-3.197023,-99
2025-05-31 23:24:06.889109,1.835629,9.102093,-4.239408,-99
2025-05-31 23:24:07.894288,4.023663,9.787338,-4.838461,-99
2025-05-31 23:24:08.910872,3.395794,7.734066,-3.592451,-99
2025-05-31 23:24:09.929765,2.866348,9.670494,-3.790915,-99
2025-05-31 23:24:10.946156,4.983353,9.340599,-4.79715,-99
2025-05-31 23:24:11.946682,2.646179,9.431572,-8.010159,-99
2025-05-31 23:24:12.968160,3.6161,11.786705,-5.838314,-99
2025-05-31 23:24:13.977778,2.579361,12.954048,-3.998352,-99
2025-05-31 23:24:14.998060,2.018524,11.778225,-5.072691,-99
2025-05-31 23:24:16.023483,3.142239,12.137913,-4.152861,-99
2025-05-31 23:24:17.036164,1.5877,12.555798,-5.777393,-99
2025-05-31 23:24:18.059289,3.334011,13.125343,-4.184044,-99
2025-05-31 23:24:19.055806,3.771545,13.581394,-4.06798,-99
2025-05-31 23:24:20.072324,-5.379467,12.640808,-4.348005,-99
2025-05-31 23:24:21.089232,1.741207,14.714363,-3.952827,-99
2025-05-31 23:24:22.089999,0.726404,13.280731,-5.101189,-99
2025-05-31 23:24:23.110411,1.570171,14.69408,-4.806129,-99
2025-05-31 23:24:24.133513,1.101427,13.34063,-4.32242,-99
2025-05-31 23:24:25.136540,2.161751,13.476498,-3.05624,-99
2025-05-31 23:24:26.137563,2.611027,12.945541,-5.777561,-99
2025-05-31 23:24:27.162746,1.430635,14.313419,-30.305576,-99
2025-05-31 23:24:28.169541,1.182623,13.726166,-27.149288,-99
2025-05-31 23:24:29.220244,0.890087,14.435322,-5.091732,-99
2025-05-31 23:24:30.221239,1.422756,12.100555,-3.773523,-99
