time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-05-31 23:23:40.505517,416.74,17.86,0,0
2025-05-31 23:23:41.541751,417.97,17.86,0,0
2025-05-31 23:23:42.562283,417.97,19.1,0,0
2025-05-31 23:23:43.573294,419.2,19.1,0,0
2025-05-31 23:23:44.581016,420.43,19.1,0,0
2025-05-31 23:23:45.581778,420.43,19.94,0,0
2025-05-31 23:23:46.598767,421.67,19.94,0,0
2025-05-31 23:23:47.623143,423.32,19.94,0,0
2025-05-31 23:23:48.638615,424.55,19.94,0,0
2025-05-31 23:23:49.646856,424.55,21.59,0,0
2025-05-31 23:23:50.653548,424.55,22.82,0,0
2025-05-31 23:23:51.659689,425.78,22.82,0,0
2025-05-31 23:23:52.670441,425.78,24.05,0,0
2025-05-31 23:23:53.704015,427.01,24.05,0,0
2025-05-31 23:23:54.698125,427.01,25.28,0,0
2025-05-31 23:23:55.702105,427.01,26.52,0,0
2025-05-31 23:23:56.731654,427.01,28.17,0,0
2025-05-31 23:23:57.736023,427.01,29.82,0,0
2025-05-31 23:23:58.772570,427.01,31.47,0,0
2025-05-31 23:23:59.777086,427.01,33.12,0,0
2025-05-31 23:24:00.808294,427.01,35.2,0,0
2025-05-31 23:24:01.821116,427.01,36.85,0,0
2025-05-31 23:24:02.822641,427.01,38.92,0,0
2025-05-31 23:24:03.854964,427.01,40.99,0,0
2025-05-31 23:24:04.851266,427.01,43.67,0,0
2025-05-31 23:24:05.877366,427.01,45.74,0,0
2025-05-31 23:24:06.888804,427.01,48.41,0,0
2025-05-31 23:24:07.894210,427.01,51.09,0,0
2025-05-31 23:24:08.910766,427.01,53.76,0,0
2025-05-31 23:24:09.929666,427.01,55.83,0,0
2025-05-31 23:24:10.945840,427.01,58.51,0,0
2025-05-31 23:24:11.946444,427.01,61.18,0,0
2025-05-31 23:24:12.967941,427.01,63.85,0,0
2025-05-31 23:24:13.977499,427.01,67.68,0,0
2025-05-31 23:24:14.997734,427.01,71.5,0,0
2025-05-31 23:24:16.023424,427.01,75.32,0,0
2025-05-31 23:24:17.036096,427.01,79.14,0,0
2025-05-31 23:24:18.059176,427.01,82.96,0,0
2025-05-31 23:24:19.055574,427.01,86.79,0,0
2025-05-31 23:24:20.072253,427.01,90.61,0,0
2025-05-31 23:24:21.089096,427.01,94.43,0,0
2025-05-31 23:24:22.089767,427.01,99.08,0,0
2025-05-31 23:24:23.110365,427.01,102.9,0,0
2025-05-31 23:24:24.133359,427.01,107.55,0,0
2025-05-31 23:24:25.136352,427.01,111.37,0,0
2025-05-31 23:24:26.137498,427.01,115.19,0,0
2025-05-31 23:24:27.162698,427.01,119.01,0,0
2025-05-31 23:24:28.169263,427.01,123.66,0,0
2025-05-31 23:24:29.219769,427.01,127.48,0,0
2025-05-31 23:24:30.221176,427.01,132.13,0,0
2025-05-31 23:24:31.257473,427.01,135.95,0,0
2025-05-31 23:24:32.266230,427.01,139.78,0,0
2025-05-31 23:24:33.272117,427.01,143.6,0,0
2025-05-31 23:24:34.278897,427.01,148.25,0,0
2025-05-31 23:24:35.295111,427.01,152.07,0,0
2025-05-31 23:24:36.300238,427.01,156.72,0,0
2025-05-31 23:24:37.350437,427.01,160.54,0,0
2025-05-31 23:24:38.365308,427.01,165.19,0,0
2025-05-31 23:24:39.355571,427.01,169.83,0,0
2025-05-31 23:24:40.367510,427.01,173.66,0,0
2025-05-31 23:24:41.379955,427.01,177.48,0,0
2025-05-31 23:24:42.400351,427.01,182.13,0,0
2025-05-31 23:24:43.426583,427.01,185.5,0,0
2025-05-31 23:24:44.432630,427.01,189.32,0,0
2025-05-31 23:24:45.453881,427.01,193.14,0,0
2025-05-31 23:24:46.455080,427.01,197.79,0,0
2025-05-31 23:24:47.498200,427.01,202.44,0,0
2025-05-31 23:24:48.489784,427.01,206.26,0,0
2025-05-31 23:24:49.490817,427.01,210.91,0,0
2025-05-31 23:24:50.533443,427.01,214.73,0,0
2025-05-31 23:24:51.523904,427.01,218.55,0,0
2025-05-31 23:24:52.544564,427.01,221.93,0,0
2025-05-31 23:24:53.555023,427.01,225.75,0,0
2025-05-31 23:24:54.578228,427.01,229.57,0,0
2025-05-31 23:24:55.584928,427.01,233.39,0,0
2025-05-31 23:24:56.584155,427.01,236.77,0,0
2025-05-31 23:24:57.620658,427.01,239.44,0,0
2025-05-31 23:24:58.608495,427.01,242.12,0,0
2025-05-31 23:24:59.629838,427.01,244.79,0,0
2025-05-31 23:25:00.645901,427.01,246.86,0,0
2025-05-31 23:25:01.647431,427.01,249.54,0,0
2025-05-31 23:25:02.666555,427.01,252.21,0,0
2025-05-31 23:25:03.683324,427.01,254.28,0,0
2025-05-31 23:25:04.707000,427.01,255.93,0,0
2025-05-31 23:25:05.742327,427.01,258.01,0,0
2025-05-31 23:25:06.739528,427.01,259.66,0,0
2025-05-31 23:25:07.751458,427.01,261.31,0,0
2025-05-31 23:25:08.771735,428.67,261.31,0,0
2025-05-31 23:25:09.787553,428.67,262.96,0,0
2025-05-31 23:25:10.795582,428.67,264.61,0,0
2025-05-31 23:25:11.801610,430.32,264.61,0,0
2025-05-31 23:25:12.838354,431.97,264.61,0,0
2025-05-31 23:25:13.834522,433.62,264.61,0,0
2025-05-31 23:25:14.863595,435.27,264.61,0,0
2025-05-31 23:25:15.872584,437.35,264.61,0,0
2025-05-31 23:25:16.895825,439,264.61,0,0
2025-05-31 23:25:17.927402,441.07,264.61,0,0
2025-05-31 23:25:18.927091,442.3,264.61,0,0
2025-05-31 23:25:19.940465,444.37,264.61,0,0
2025-05-31 23:25:20.960571,446.03,264.61,0,0
2025-05-31 23:25:21.960232,446.03,264.61,0.53,0
2025-05-31 23:25:22.978687,448.1,264.61,0.53,0
2025-05-31 23:25:23.999791,450.17,264.61,0.53,0
2025-05-31 23:25:25.016039,450.17,265.45,0.53,0
2025-05-31 23:25:26.019749,452.24,265.45,0.53,0
2025-05-31 23:25:27.048277,454.31,265.45,0.53,0
2025-05-31 23:25:28.050225,456.39,265.45,0.53,0
2025-05-31 23:25:29.061776,458.46,265.45,0.53,0
2025-05-31 23:25:30.071121,460.53,265.45,0.53,0
2025-05-31 23:25:31.091000,462.6,265.45,0.53,0
2025-05-31 23:25:32.092631,464.67,265.45,0.53,0
2025-05-31 23:25:33.113971,466.75,265.45,0.53,0
2025-05-31 23:25:34.146300,468.82,265.45,0.53,0
2025-05-31 23:25:35.145748,470.89,265.45,0.53,0
2025-05-31 23:25:36.168192,472.96,265.45,0.53,0
2025-05-31 23:25:37.186947,474.61,265.45,0.53,0
2025-05-31 23:25:38.175322,476.69,265.45,0.53,0
2025-05-31 23:25:39.202207,478.76,265.45,0.53,0
2025-05-31 23:25:40.211374,480.41,265.45,0.53,0
2025-05-31 23:25:41.233851,480.94,265.45,0.53,0
2025-05-31 23:25:42.255386,480.94,265.45,1.76,0
2025-05-31 23:25:43.275922,482.59,265.45,1.76,0
2025-05-31 23:25:44.272600,484.25,265.45,1.76,0
2025-05-31 23:25:45.287814,485.48,265.45,1.76,0
2025-05-31 23:25:46.313216,487.13,265.45,1.76,0
2025-05-31 23:25:47.315098,488.78,265.45,1.76,0
2025-05-31 23:25:48.331327,490.01,265.45,1.76,0
2025-05-31 23:25:49.344385,490.01,265.45,2.6,0
2025-05-31 23:25:50.360252,491.25,265.45,2.6,0
2025-05-31 23:25:51.362365,492.48,265.45,2.6,0
2025-05-31 23:25:52.367448,493.71,265.45,2.6,0
2025-05-31 23:25:53.399615,493.71,265.45,4.26,0
2025-05-31 23:25:54.417983,493.71,265.45,5.91,0
2025-05-31 23:25:55.434860,493.71,265.45,7.56,0
2025-05-31 23:25:56.453153,493.71,265.45,9.63,0
2025-05-31 23:25:57.459488,493.71,265.45,10.86,0
2025-05-31 23:25:58.475292,493.71,265.45,12.52,0
2025-05-31 23:25:59.492393,493.71,265.45,14.59,0
2025-05-31 23:26:00.519792,493.71,265.45,16.66,0
2025-05-31 23:26:01.514506,493.71,265.45,18.31,0
2025-05-31 23:26:02.531598,493.71,265.45,20.38,0
2025-05-31 23:26:03.543116,493.71,265.45,22.46,0
2025-05-31 23:26:04.574889,493.71,265.45,24.53,0
2025-05-31 23:26:05.561131,493.71,265.45,27.2,0
2025-05-31 23:26:06.585101,493.71,265.45,29.88,0
2025-05-31 23:26:07.601297,493.71,265.45,31.95,0
2025-05-31 23:26:08.628271,493.71,265.45,34.62,0
2025-05-31 23:26:09.633758,493.71,265.45,37.3,0
2025-05-31 23:26:10.655247,493.71,265.45,39.97,0
2025-05-31 23:26:11.676714,493.71,265.45,42.64,0
2025-05-31 23:26:12.679011,493.71,265.45,45.32,0
2025-05-31 23:26:13.709342,493.71,265.45,47.99,0
2025-05-31 23:26:14.716620,493.71,265.45,50.67,0
2025-05-31 23:26:15.730894,493.71,265.45,54.04,0
2025-05-31 23:26:16.738910,493.71,265.45,56.71,0
2025-05-31 23:26:17.741124,493.71,265.45,58.79,0
2025-05-31 23:26:18.779195,493.71,265.45,61.46,0
2025-05-31 23:26:19.769357,493.71,265.45,64.13,0
2025-05-31 23:26:20.781171,493.71,265.45,66.21,0
2025-05-31 23:26:21.801954,493.71,265.45,68.28,0
2025-05-31 23:26:22.828214,493.71,265.45,70.95,0
2025-05-31 23:26:23.830741,493.71,265.45,73.63,0
2025-05-31 23:26:24.842994,493.71,265.45,76.3,0
2025-05-31 23:26:25.849165,493.71,265.45,78.97,0
2025-05-31 23:26:26.860751,493.71,265.45,81.65,0
2025-05-31 23:26:27.872012,493.71,265.45,84.32,0
2025-05-31 23:26:28.894423,493.71,265.45,87,0
2025-05-31 23:26:29.895556,493.71,265.45,89.07,0
2025-05-31 23:26:30.905145,493.71,265.45,91.74,0
2025-05-31 23:26:31.921140,493.71,265.45,94.42,0
2025-05-31 23:26:34.762725,493.71,265.45,96.49,0
2025-05-31 23:26:35.801542,493.71,265.45,98.56,0
2025-05-31 23:26:36.813074,493.71,265.45,101.23,0
2025-05-31 23:26:37.823678,493.71,265.45,103.31,0
2025-05-31 23:26:38.836047,493.71,265.45,105.38,0
2025-05-31 23:26:39.843649,493.71,265.45,108.05,0
2025-05-31 23:26:40.865832,493.71,265.45,110.12,0
